Post_ID,Actor_Name,Post_Format,BERTopic,m_Primary_Topic,cap_chars,eng_rate,f_Protagonist,f_Onscreen_Text,n_comments_scraped
DRWQ-B9jmwx,Ongava Game Reserve,Image,2,Wildlife,151,0.004657,1.0,0.0,0
DXPmUSmAsWS,Giraffe Conservation Foundation,Image,8,Wildlife,251,0.011449,1.0,0.0,4
DXbynlCjsnU,Gobabeb Research & Training Centre,Image,20,Wildlife,15,0.011691,,,0
DXbSywhDQWF,Gobabeb Research & Training Centre,Carousel,7,Wildlife,87,0.076439,0.0,0.0,1
DXwKk3HCCrp,Ongava Game Reserve,Carousel,2,Ecotourism,371,0.008699,0.0,0.0,0
DVvCknRjvf6,Harnas Wildlife Foundation,Carousel,1,Ecotourism,263,0.002964,0.0,0.0,1
DVQP4NojqaK,Harnas Wildlife Foundation,Carousel,1,Ecotourism,231,0.001312,0.0,0.0,0
DVJKgdwDE6k,Harnas Wildlife Foundation,Video,1,Wildlife,793,0.00663,1.0,0.0,1
DWGNnrpDtYm,Harnas Wildlife Foundation,Image,1,Wildlife,145,0.002195,0.0,0.0,0
DWN8CmPDmjg,Harnas Wildlife Foundation,Image,1,Ecotourism,146,0.002172,0.0,0.0,0
DWTFsBgjvPD,Harnas Wildlife Foundation,Carousel,1,Community,258,0.002874,1.0,0.0,2
DXb98OkiLtY,Ministry of Environment Forestry & Tourism,Carousel,24,Policy,473,0.005902,1.0,1.0,0
DUP8i2Qigcf,Namibia Youth Chamber of Environment,Carousel,-1,Wildlife,601,0.019042,1.0,0.0,0
DWn68aHCAaP,Ministry of Environment Forestry & Tourism,Image,24,Policy,391,0.012929,1.0,0.0,0
DWoNu2YiMLw,Ministry of Environment Forestry & Tourism,Video,24,Policy,278,0.019393,1.0,0.0,0
DUr-88XjjJb,Harnas Wildlife Foundation,Image,1,Ecotourism,217,0.001018,0.0,0.0,0
DUuxi5_DvLg,Harnas Wildlife Foundation,Image,1,Ecotourism,186,0.005069,1.0,0.0,2
DQxCVcNj9Cw,Giraffe Conservation Foundation,Image,8,Wildlife,285,0.014188,1.0,0.0,5
DVfdclaCI5r,Environmental Investment Fund,Image,14,Policy,487,0.010133,0.0,1.0,0
DUaaK2PjUEr,Environmental Investment Fund,Image,3,Community,339,0.0095,0.0,1.0,1
DUbWtOygfZh,N/a'an ku se Foundation,Video,21,Wildlife,501,0.001685,1.0,1.0,1
DTSgWRoloBs,Harnas Wildlife Foundation,Image,9,Community,188,0.00086,1.0,0.0,0
DWTPuYYiBmk,Ministry of Environment Forestry & Tourism,Carousel,6,Policy,461,0.005059,0.0,0.0,0
DTaOutKjo18,Harnas Wildlife Foundation,Image,1,Wildlife,137,0.002195,1.0,0.0,1
DUANbOODsT-,Harnas Wildlife Foundation,Image,1,Community,161,0.001516,1.0,0.0,1
DTsQUhIDj4F,Harnas Wildlife Foundation,Carousel,1,Ecotourism,209,0.004118,0.0,0.0,0
DUCyOBzjtGW,Harnas Wildlife Foundation,Carousel,1,Ecotourism,247,0.002557,0.0,0.0,0
DSXuQFEiGjJ,Environmental Investment Fund,Image,16,Community,396,0.003167,0.0,1.0,0
DScBd6SjrLJ,Harnas Wildlife Foundation,Carousel,-99,Ecotourism,0,0.002557,0.0,0.0,0
DS2LnHADquv,Harnas Wildlife Foundation,Image,1,Community,277,0.00181,1.0,0.0,0
DTINIX7jsOm,Harnas Wildlife Foundation,Image,1,Wildlife,118,0.002308,1.0,0.0,1
DVgNyhriNtn,Ministry of Environment Forestry & Tourism,Carousel,30,Policy,668,0.006745,0.0,0.0,0
DSKFeTFjnt2,Harnas Wildlife Foundation,Carousel,1,Ecotourism,179,0.004209,0.0,0.0,0
DXO1x-NCC5k,Ocean Conservation Namibia,Video,3,Wildlife,105,0.037163,1.0,0.0,15
DW85lspilIK,Gobabeb Research & Training Centre,Image,2,Community,55,0.032374,0.0,0.0,0
DRgx6pxiByy,Harnas Wildlife Foundation,Image,1,Ecotourism,120,0.002195,0.0,0.0,0
