Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,eng_rate,pca1,pca2,pca3,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info
DRy5ghiDT_W,Environmental Investment Fund,Image,11,org_update_identity,False,False,0,0.0114,-1.8844547150106385,0.8765566936501313,-0.13599456239198435,lo,hi,mid,False,False,False,False
DWVnGAginZE,Gobabeb Research & Training Centre,Carousel,19,research_dispatch,False,False,0,0.044964,0.642108743600374,-1.4613169539457325,-0.6802202647323201,hi,lo,lo,False,False,False,False
DU-3de8iG-a,Namibia Nature Foundation,Video,10,coexistence_community_livelihoods,False,False,1,0.025764,-0.22471805570364656,-1.031841501696765,-0.6084067806507895,mid,lo,lo,False,False,False,False
DS7VL1aDlsL,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.003326,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DSrc9q6DsW-,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.00172,-0.2525262049838802,-0.7316538393298634,0.3792238469830369,mid,mid,hi,False,False,False,False
DSW2mrgjs6h,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,1,0.004231,1.5926790299102336,-1.0136873811755853,1.162491279992422,hi,lo,hi,False,False,False,False
DSjukI4jv4D,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,1,0.001923,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DVax_qWDIWT,Ministry of Environment Forestry & Tourism,Carousel,-1,outlier_atypical,False,False,0,0.01602,-1.1193530042879007,-0.30217838708089606,0.4510373310645676,lo,mid,hi,True,False,False,False
DVYKqgYiKyD,Ministry of Environment Forestry & Tourism,Image,30,policy_governance,False,False,0,0.004497,-0.796377191857146,1.3011372358226416,0.4350587248692331,lo,hi,hi,False,False,False,False
DTNWuvpjhud,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,0,0.000679,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DScBd6SjrLJ,Harnas Wildlife Foundation,Carousel,-99,outlier_atypical,True,False,0,0.002557,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DS2LnHADquv,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,0,0.00181,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DS9QwOEjtZU,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.001154,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DXGonOCjTav,Ocean Conservation Namibia,Carousel,3,rescue_intervention,False,True,8,0.002194,-1.4632547320763425,-0.06963483407350234,1.149274814750399,lo,mid,hi,False,False,False,False
DSRtCS7jnGX,Harnas Wildlife Foundation,Carousel,23,education_youth,False,False,0,0.002557,1.8300750483155483,0.0614370439964729,0.8738932053027109,hi,mid,hi,False,False,False,False
DTINIX7jsOm,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,1,0.002308,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DVlqdpuofJi,Ministry of Environment Forestry & Tourism,Video,-1,outlier_atypical,False,False,0,0.012366,0.9055443836602383,1.1069344735891742,-0.8655507470017184,hi,hi,lo,False,False,False,False
DVqA9lQCMB3,Ministry of Environment Forestry & Tourism,Carousel,30,policy_governance,False,False,0,0.006464,-1.0279307832836149,2.007549299941358,-0.5862838132984254,lo,hi,lo,False,False,False,False
DVgNyhriNtn,Ministry of Environment Forestry & Tourism,Carousel,30,policy_governance,True,False,0,0.006745,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DVyJyHCoyal,Ministry of Environment Forestry & Tourism,Video,-1,outlier_atypical,False,False,0,0.011523,0.20612053727090696,1.1975265802636725,0.7334925436360737,mid,hi,hi,True,False,False,False
DSo4NOsDnRq,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,1,0.002376,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DW_Y85EldJH,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.083718,2.722941469274119,1.1250885941103543,0.9053473136414936,hi,hi,hi,False,False,False,False
DWCAWs1iCox,Ministry of Environment Forestry & Tourism,Carousel,-1,outlier_atypical,False,False,0,0.010961,-2.0418356500776094,0.7289150105460062,0.1495506408443942,lo,hi,mid,False,False,False,False
DXHHXHCCcgT,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.003534,-1.017627915706618,0.44708124140116395,-0.20780804647351506,lo,mid,mid,False,False,False,False
DXJsM3zibUp,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.011645,2.722941469274119,1.1250885941103543,0.9053473136414936,hi,hi,hi,False,False,False,False
DWEYm7riHPW,Ministry of Environment Forestry & Tourism,Carousel,24,policy_governance,False,False,0,0.006745,-0.6867458836876628,0.13387503014979124,0.7020384352972912,lo,mid,hi,False,False,False,False
DXB9wXvkQo4,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.01353,2.722941469274119,1.1250885941103543,0.9053473136414936,hi,hi,hi,False,False,False,False
DWD4O7tiJcr,Ministry of Environment Forestry & Tourism,Image,33,coexistence_community_livelihoods,False,False,1,0.008151,-2.1299538252613783,-0.24013635456643073,-0.8757673014020966,lo,mid,lo,True,False,False,False
DXMRBetlLiz,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.016717,2.722941469274119,1.1250885941103543,0.9053473136414936,hi,hi,hi,False,False,False,False
DXEhT7-jsJy,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.004142,0.7258522306062131,-0.584211928926618,1.2343047640739528,hi,mid,hi,False,False,False,False
DVgLWW3CIDY,Ministry of Environment Forestry & Tourism,Carousel,33,coexistence_community_livelihoods,False,False,0,0.00787,-0.3114791597267433,-0.06717242957284986,0.13379261658103755,mid,mid,mid,False,False,False,False
DWBjc-BiA6-,Ministry of Environment Forestry & Tourism,Image,6,policy_governance,False,False,0,0.006745,-2.1299538252613783,-0.24013635456643073,-0.8757673014020966,lo,mid,lo,False,False,False,False
DSKFeTFjnt2,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,False,0,0.004209,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DXRbK38DM3W,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.003521,-0.5488751781320583,-1.142296854744908,0.422390691270749,mid,lo,hi,False,False,False,False
DXO1x-NCC5k,Ocean Conservation Namibia,Video,3,rescue_intervention,True,True,15,0.037163,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DXQrA_0jvq3,Ocean Conservation Namibia,Carousel,10,coexistence_community_livelihoods,False,True,4,0.001188,-0.13836840814556212,1.7305245281454222,1.5078093816498408,mid,hi,hi,False,False,False,False
DTkNTvlF3zS,Gobabeb Research & Training Centre,Image,27,research_dispatch,False,False,0,0.029676,-0.3603889855276791,-1.3577062983867636,-0.9786540834991607,mid,lo,lo,False,False,False,False
DXT_TNoj4Df,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.011129,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DW85lspilIK,Gobabeb Research & Training Centre,Image,2,ecotourism_aesthetic,True,False,0,0.032374,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DXWkHQnAsRS,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.019976,1.7204437401460657,1.2286992496693232,0.606913494874653,hi,hi,hi,False,False,False,False
DTK_tKrDXs3,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,1,0.006902,-0.3114791597267433,-0.06717242957284986,0.13379261658103755,mid,mid,mid,False,False,False,False
DURDVRDCI32,Namibia Nature Foundation,Carousel,-1,outlier_atypical,False,False,0,0.007644,-1.2550239341119331,-0.6280431837708944,0.0807900282161964,lo,mid,mid,True,False,False,False
DRgx6pxiByy,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,False,0,0.002195,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DTe830ojmon,Save the Rhino Trust Namibia,Image,5,species_spotlight_facts,False,False,0,0.003061,-0.023233278423989936,0.3019019627976912,-0.9377450414064981,mid,mid,lo,False,False,False,False
DQ9DYVGjs2Z,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,True,3,0.004503,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DSKaIfiFhcS,Gobabeb Research & Training Centre,Image,19,research_dispatch,False,False,0,0.033273,0.012677962701668538,0.043282923475292834,-0.8970048553405009,mid,mid,lo,False,False,False,False
DTH5ocQDAMc,Elephant Human Relations Aid,Video,0,coexistence_community_livelihoods,True,True,4,0.018314,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DTigcpbjOyn,WWF Namibia,Image,6,policy_governance,False,False,0,0.006225,-1.5513729072601115,-1.038686199185939,0.1239568725039085,lo,lo,mid,False,False,False,False
DTSgXWbDah5,Gobabeb Research & Training Centre,Carousel,25,research_dispatch,False,False,2,0.039568,-0.3603889855276791,-1.3577062983867636,-0.9786540834991607,mid,lo,lo,False,False,False,True
DQiqMb_DhnI,Ongava Game Reserve,Video,1,ecotourism_aesthetic,True,False,0,0.005185,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DRCM9WrjtFb,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.001969,-1.263127025957358,-0.6696118068153981,-0.9475807854836272,lo,mid,lo,False,False,False,False
DU-u3Jljsfe,Ongava Game Reserve,Carousel,2,ecotourism_aesthetic,False,False,1,0.008084,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DRT5_MkDmVi,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.002014,0.5553476395772773,-0.4966478818218173,0.06197913249950685,hi,mid,mid,False,False,False,False
DROwWkzAbdm,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.001652,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DRJmW5KESJY,Harnas Wildlife Foundation,Carousel,9,coexistence_community_livelihoods,False,False,0,0.002625,1.2595972221597065,0.9015555116604851,0.9025398450965296,hi,hi,hi,False,False,False,False
DRboXapDRPH,Harnas Wildlife Foundation,Image,31,species_spotlight_facts,True,True,5,0.006245,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DWlpEQZkSwj,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.013116,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DQt0XptgQN5,Gobabeb Research & Training Centre,Carousel,12,research_dispatch,True,False,0,0.040468,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DQ3lMB-CH-Q,Gobabeb Research & Training Centre,Carousel,19,research_dispatch,False,False,0,0.02518,0.642108743600374,-1.4613169539457325,-0.6802202647323201,hi,lo,lo,False,False,False,False
DQtEQWBjmNA,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,False,False,0,0.001991,0.5553476395772773,-0.4966478818218173,0.06197913249950685,hi,mid,mid,False,False,False,False
DWRCqLyAs94,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.018142,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DWk1d0DDHm-,Ocean Conservation Namibia,Image,3,rescue_intervention,False,True,15,0.002097,-0.33434936387312975,0.13542070397608483,-0.8753864910788475,mid,mid,lo,False,False,False,False
DQ4Hgt0jmeW,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,False,2,0.003236,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DQ6lpEcAAZE,Gobabeb Research & Training Centre,Carousel,12,research_dispatch,True,False,0,0.056655,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DRj2I1ODuFl,Gobabeb Research & Training Centre,Carousel,12,research_dispatch,False,False,0,0.034173,0.642108743600374,-1.4613169539457325,-0.6802202647323201,hi,lo,lo,False,False,False,True
DWTncqqigcL,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.010863,1.4482140605358471,0.5670036682920638,0.09343324083828944,hi,hi,mid,False,False,False,False
DQomPRvDhb2,Gobabeb Research & Training Centre,Carousel,3,rescue_intervention,True,False,0,0.027878,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,True
DQrRbjNDa8w,Gobabeb Research & Training Centre,Carousel,19,research_dispatch,False,False,0,0.040468,0.642108743600374,-1.4613169539457325,-0.6802202647323201,hi,lo,lo,False,False,False,False
DQyN1z-jWP2,Harnas Wildlife Foundation,Image,1,ecotourism_aesthetic,True,True,3,0.006019,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DRMLifyj68e,Gobabeb Research & Training Centre,Carousel,27,research_dispatch,False,False,1,0.024281,0.8795047620056891,-0.3861925287736746,-0.9688183394220315,hi,mid,lo,False,False,False,True
DWlb2t7FEje,Ocean Conservation Namibia,Image,3,rescue_intervention,False,True,15,0.003521,2.722941469274119,1.1250885941103543,0.9053473136414936,hi,hi,hi,False,False,False,False
DRmG7PPDcg3,Gobabeb Research & Training Centre,Image,-99,outlier_atypical,False,False,0,0.011691,-1.2272157848316996,-0.9282308461377964,-0.9068405994176301,lo,lo,lo,False,False,False,False
DSZYkGrjC9V,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,1,0.007178,0.5553476395772773,-0.4966478818218173,0.06197913249950685,hi,mid,mid,False,False,False,False
DWiVP96AE8O,Ocean Conservation Namibia,Image,3,rescue_intervention,False,True,15,0.001052,1.4971772699255632,0.9118981988021765,-2.229505440137436,hi,hi,lo,False,False,False,False
DSUkrmxDAR0,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,False,False,0,0.009295,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DWd6n6mD1JJ,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.013492,0.20832031300247886,-0.4045101013210253,0.08359749676116039,mid,mid,mid,False,False,False,False
DWYxBt2jWH0,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.013953,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DQ_hYO8jUi7,Gobabeb Research & Training Centre,Carousel,-1,outlier_atypical,False,False,0,0.06205,0.8795047620056891,-0.3861925287736746,-0.9688183394220315,hi,mid,lo,False,False,False,True
DWWMPeZggaK,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.015995,-0.265871611019453,1.1345794773077909,5.0911232563022155,mid,hi,hi,False,False,False,False
DWbV1NRgceI,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.014236,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DWjEN2Vk60m,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.015416,2.4855454508688033,0.04996416893829583,1.1939453883312048,hi,mid,hi,False,False,False,False
DSsJpdCDG-G,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,False,False,0,0.010123,-2.1218507334159535,-0.19856773152192703,0.1526035122977271,lo,mid,mid,False,False,False,False
DScZSW5jCsp,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,0,0.007915,-0.015130186578565033,0.343470585842195,0.0906257722933255,mid,mid,mid,False,False,False,False
DWgLGvxDPxZ,Ocean Conservation Namibia,Video,3,rescue_intervention,False,True,15,0.153737,1.6187186515647825,0.4794396211872632,1.2657588724127355,hi,hi,hi,False,False,False,False
DSPnMuDDPRG,Elephant Human Relations Aid,Carousel,0,coexistence_community_livelihoods,False,False,0,0.007086,1.5756512527426934,0.9704422416641244,-1.156628440524833,hi,hi,lo,False,False,False,False
DSkb8crjN7Y,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,True,False,1,0.014817,0.3179516211719621,-1.5717723069938754,0.3505772071892183,mid,lo,mid,False,False,False,False
DSnAE6BjL8j,Elephant Human Relations Aid,Video,7,education_youth,False,True,8,0.027333,-1.386161053497462,0.2301785268902879,4.233466794258963,lo,mid,hi,False,False,False,False
DSpk1urDKtR,Elephant Human Relations Aid,Video,0,coexistence_community_livelihoods,False,False,0,0.014265,-0.1530008921341695,1.6196424707368946,0.3702735163198675,mid,hi,hi,False,False,False,False
DQoIZkHDhRS,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,False,1,0.001697,1.4548083243546293,0.26248450371911425,1.442139024018964,hi,mid,hi,False,False,False,False
DS4mHSFjKnm,Elephant Human Relations Aid,Carousel,1,ecotourism_aesthetic,False,False,1,0.01721,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DS7R0D8DCQb,Elephant Human Relations Aid,Carousel,1,ecotourism_aesthetic,False,False,0,0.010123,0.5553476395772773,-0.4966478818218173,0.06197913249950685,hi,mid,mid,False,False,False,False
