commenter,src_org,weight
C0148,oceanconservationnamibia,1
C0149,oceanconservationnamibia,1
C0150,ccfcheetah,1
C0151,giraffe_conservation,1
C0152,giraffe_conservation,2
C0153,ehranamibia,1
C0154,giraffe_conservation,1
C0155,africat_foundation,1
C0156,giraffe_conservation,1
C0157,ongavagamereserve,1
C0158,giraffe_conservation,1
C0159,harnaswildlifefoundation,7
C0160,ccfcheetah,1
C0161,ehranamibia,1
C0162,ccfcheetah,2
C0162,savetherhinonamibia,1
C0163,harnaswildlifefoundation,1
C0164,oceanconservationnamibia,1
C0165,ehranamibia,3
C0166,harnaswildlifefoundation,2
C0166,naankuse_foundation,1
C0167,africat_foundation,3
C0168,oceanconservationnamibia,2
C0169,namyouthchamber,1
C0170,ccfcheetah,1
C0171,oceanconservationnamibia,1
C0172,oceanconservationnamibia,2
C0173,oceanconservationnamibia,1
C0174,giraffe_conservation,1
C0175,africat_foundation,1
C0176,oceanconservationnamibia,1
C0177,oceanconservationnamibia,1
C0178,oceanconservationnamibia,1
C0179,oceanconservationnamibia,3
C0180,oceanconservationnamibia,7
C0181,ehranamibia,7
C0182,oceanconservationnamibia,1
C0183,oceanconservationnamibia,1
C0184,africat_foundation,1
C0185,oceanconservationnamibia,1
C0186,ccfcheetah,1
C0187,ehranamibia,3
C0188,giraffe_conservation,1
C0189,oceanconservationnamibia,1
C0190,oceanconservationnamibia,1
C0191,giraffe_conservation,1
C0192,ehranamibia,2
C0193,ccfcheetah,2
C0194,africat_foundation,1
C0195,ccfcheetah,1
C0196,ccfcheetah,4
C0197,oceanconservationnamibia,5
C0198,ccfcheetah,3
C0199,oceanconservationnamibia,1
C0200,ccfcheetah,2
C0201,oceanconservationnamibia,1
C0202,oceanconservationnamibia,2
C0203,naankuse_foundation,1
C0204,oceanconservationnamibia,1
C0205,oceanconservationnamibia,2
C0206,africat_foundation,1
C0207,namibia_nature_foundation,1
C0208,ehranamibia,1
C0209,naankuse_foundation,1
C0210,oceanconservationnamibia,1
C0211,ccfcheetah,4
C0212,naankuse_foundation,1
C0213,oceanconservationnamibia,1
C0214,oceanconservationnamibia,1
C0215,oceanconservationnamibia,1
C0216,oceanconservationnamibia,1
C0217,oceanconservationnamibia,1
C0218,oceanconservationnamibia,1
C0219,ccfcheetah,1
C0220,harnaswildlifefoundation,5
C0220,naankuse_foundation,1
C0221,ehranamibia,1
C0222,ongavagamereserve,1
C0223,oceanconservationnamibia,2
C0224,africat_foundation,1
C0225,africat_foundation,3
C0226,africat_foundation,1
C0227,ehranamibia,1
C0228,oceanconservationnamibia,1
C0229,wwfnamibia,1
C0230,giraffe_conservation,1
C0231,oceanconservationnamibia,1
C0232,ehranamibia,1
C0233,naankuse_foundation,1
C0234,tosconamibia,1
C0235,oceanconservationnamibia,1
C0236,oceanconservationnamibia,2
C0237,africat_foundation,1
C0238,ccfcheetah,2
C0239,giraffe_conservation,1
C0240,oceanconservationnamibia,1
C0241,ehranamibia,1
C0242,naankuse_foundation,1
C0243,oceanconservationnamibia,1
C0244,oceanconservationnamibia,1
C0245,gobabeb,2
C0246,oceanconservationnamibia,1
C0247,giraffe_conservation,1
C0248,oceanconservationnamibia,5
C0249,ehranamibia,2
C0250,oceanconservationnamibia,1
C0251,giraffe_conservation,1
C0252,naankuse_foundation,1
C0253,oceanconservationnamibia,2
C0254,naankuse_foundation,1
C0255,giraffe_conservation,1
C0256,ccfcheetah,1
C0257,oceanconservationnamibia,1
C0258,ccfcheetah,2
C0259,gobabeb,1
C0260,giraffe_conservation,1
C0261,africat_foundation,3
C0262,oceanconservationnamibia,1
C0263,oceanconservationnamibia,1
C0264,giraffe_conservation,3
C0265,ccfcheetah,1
C0266,oceanconservationnamibia,2
C0267,oceanconservationnamibia,1
C0268,oceanconservationnamibia,1
C0269,oceanconservationnamibia,1
C0270,oceanconservationnamibia,1
C0271,ongavagamereserve,3
C0272,ongavagamereserve,1
C0273,naankuse_foundation,1
C0274,naankuse_foundation,1
C0275,naankuse_foundation,2
C0276,oceanconservationnamibia,2
C0277,ccfcheetah,1
C0278,oceanconservationnamibia,2
C0279,ongavagamereserve,1
C0280,gobabeb,3
C0281,naankuse_foundation,1
C0282,ccfcheetah,1
C0283,oceanconservationnamibia,1
C0284,naankuse_foundation,3
C0285,oceanconservationnamibia,2
C0286,giraffe_conservation,1
C0287,oceanconservationnamibia,1
C0288,ehranamibia,1
C0289,ongavagamereserve,1
C0290,oceanconservationnamibia,1
C0291,giraffe_conservation,1
C0292,oceanconservationnamibia,2
C0293,oceanconservationnamibia,2
C0294,oceanconservationnamibia,9
C0295,oceanconservationnamibia,1
C0296,oceanconservationnamibia,4
C0297,africat_foundation,1
C0298,giraffe_conservation,1
C0299,oceanconservationnamibia,2
C0300,oceanconservationnamibia,1
C0301,oceanconservationnamibia,2
C0302,oceanconservationnamibia,1
C0303,ccfcheetah,3
C0304,giraffe_conservation,2
C0305,oceanconservationnamibia,1
C0306,ehranamibia,3
C0307,oceanconservationnamibia,1
C0308,ccfcheetah,1
C0309,oceanconservationnamibia,3
C0310,ccfcheetah,5
C0310,ehranamibia,22
C0310,giraffe_conservation,5
C0311,ongavagamereserve,1
C0312,africat_foundation,1
C0313,ccfcheetah,1
C0314,ccfcheetah,1
C0315,ministry_of_environment_nam,1
C0316,africat_foundation,1
C0317,ehranamibia,1
C0318,ccfcheetah,2
C0319,oceanconservationnamibia,1
C0320,africat_foundation,1
C0321,ccfcheetah,10
C0321,giraffe_conservation,18
C0322,namyouthchamber,1
C0323,oceanconservationnamibia,1
C0324,ehranamibia,1
C0325,oceanconservationnamibia,1
C0326,oceanconservationnamibia,1
C0327,oceanconservationnamibia,1
C0328,gobabeb,1
C0329,oceanconservationnamibia,1
C0330,africat_foundation,1
C0331,giraffe_conservation,1
C0332,oceanconservationnamibia,1
C0333,harnaswildlifefoundation,1
C0334,ccfcheetah,1
C0335,oceanconservationnamibia,1
C0336,ccfcheetah,1
C0337,oceanconservationnamibia,2
C0338,ccfcheetah,1
C0339,giraffe_conservation,1
C0340,oceanconservationnamibia,1
C0341,oceanconservationnamibia,3
C0342,oceanconservationnamibia,1
C0343,oceanconservationnamibia,1
C0344,ccfcheetah,3
C0345,giraffe_conservation,1
C0346,giraffe_conservation,1
C0347,ongavagamereserve,1
C0348,ccfcheetah,3
C0349,oceanconservationnamibia,1
C0350,gobabeb,3
C0350,savetherhinonamibia,2
C0351,ehranamibia,1
C0352,ccfcheetah,5
C0353,oceanconservationnamibia,1
C0354,africat_foundation,2
C0355,ehranamibia,1
C0356,oceanconservationnamibia,1
C0357,ccfcheetah,1
C0358,oceanconservationnamibia,1
C0359,namibia_nature_foundation,1
C0360,oceanconservationnamibia,1
C0361,ehranamibia,1
C0362,africat_foundation,1
C0363,naankuse_foundation,1
C0364,naankuse_foundation,1
C0365,oceanconservationnamibia,1
C0366,oceanconservationnamibia,1
C0367,ehranamibia,1
C0368,africat_foundation,1
C0369,oceanconservationnamibia,1
C0370,naankuse_foundation,1
C0371,oceanconservationnamibia,1
C0372,ongavagamereserve,2
C0373,ehranamibia,1
C0374,oceanconservationnamibia,2
C0375,naankuse_foundation,1
C0376,ccfcheetah,5
C0377,oceanconservationnamibia,1
C0378,oceanconservationnamibia,1
C0379,ehranamibia,1
C0380,oceanconservationnamibia,1
C0381,giraffe_conservation,4
C0382,oceanconservationnamibia,1
C0383,ccfcheetah,1
C0384,ehranamibia,1
C0385,oceanconservationnamibia,1
C0386,oceanconservationnamibia,4
C0387,ongavagamereserve,1
C0391,ehranamibia,1
C0392,gobabeb,1
C0393,giraffe_conservation,4
C0394,giraffe_conservation,1
C0395,giraffe_conservation,1
C0396,oceanconservationnamibia,1
C0397,wwfnamibia,1
C0398,oceanconservationnamibia,1
C0399,oceanconservationnamibia,2
C0400,oceanconservationnamibia,1
C0401,oceanconservationnamibia,2
C0402,oceanconservationnamibia,1
C0403,ehranamibia,1
C0404,oceanconservationnamibia,1
C0405,giraffe_conservation,1
C0406,ehranamibia,1
C0407,oceanconservationnamibia,1
C0408,oceanconservationnamibia,1
C0409,ccfcheetah,1
C0410,oceanconservationnamibia,1
C0411,africat_foundation,1
C0412,naankuse_foundation,1
C0413,oceanconservationnamibia,11
C0414,naankuse_foundation,3
C0415,ehranamibia,1
C0416,oceanconservationnamibia,1
C0417,ccfcheetah,2
C0418,ehranamibia,1
C0419,oceanconservationnamibia,5
C0420,giraffe_conservation,1
C0421,oceanconservationnamibia,1
C0422,oceanconservationnamibia,1
C0423,oceanconservationnamibia,1
C0424,oceanconservationnamibia,1
C0425,giraffe_conservation,1
C0426,oceanconservationnamibia,1
C0427,oceanconservationnamibia,3
C0428,oceanconservationnamibia,2
C0429,oceanconservationnamibia,1
C0430,ministry_of_environment_nam,1
C0431,oceanconservationnamibia,2
C0432,oceanconservationnamibia,1
C0433,ccfcheetah,1
C0434,naankuse_foundation,1
C0435,harnaswildlifefoundation,1
C0436,ehranamibia,1
C1271,giraffe_conservation,3
C0437,giraffe_conservation,10
C0438,giraffe_conservation,1
C0439,ccfcheetah,2
C0440,oceanconservationnamibia,1
C0441,ccfcheetah,1
C0442,ccfcheetah,1
C0444,ehranamibia,1
C0445,giraffe_conservation,1
C0446,oceanconservationnamibia,1
C0447,ehranamibia,1
C0448,oceanconservationnamibia,1
C0449,giraffe_conservation,1
C0450,oceanconservationnamibia,1
C0451,oceanconservationnamibia,1
C0452,ongavagamereserve,1
C0453,oceanconservationnamibia,4
C0454,oceanconservationnamibia,1
C0455,africat_foundation,1
C0456,oceanconservationnamibia,1
C0458,oceanconservationnamibia,1
C0459,ccfcheetah,2
C0460,oceanconservationnamibia,1
C0461,oceanconservationnamibia,1
C0462,oceanconservationnamibia,1
C0463,oceanconservationnamibia,2
C0464,oceanconservationnamibia,1
C0465,ccfcheetah,1
C0466,giraffe_conservation,1
C0467,ccfcheetah,1
C0468,oceanconservationnamibia,1
C0469,oceanconservationnamibia,5
C0470,oceanconservationnamibia,2
C0471,ccfcheetah,1
C0472,ccfcheetah,1
C0473,oceanconservationnamibia,1
C0474,ccfcheetah,1
C0475,ccfcheetah,1
C0476,oceanconservationnamibia,1
C0477,oceanconservationnamibia,1
C0478,ccfcheetah,1
C0479,ministry_of_environment_nam,1
C0480,oceanconservationnamibia,1
C0481,oceanconservationnamibia,1
C0482,africat_foundation,2
C0483,ehranamibia,1
C0484,ehranamibia,1
C0485,oceanconservationnamibia,7
C0486,naankuse_foundation,1
C0487,giraffe_conservation,1
C0488,naankuse_foundation,1
C0489,ehranamibia,3
C0490,oceanconservationnamibia,3
C0491,oceanconservationnamibia,1
C0492,namyouthchamber,1
C0493,naankuse_foundation,1
C0494,oceanconservationnamibia,1
C0496,naankuse_foundation,1
C0497,ccfcheetah,2
C0499,oceanconservationnamibia,1
C0501,oceanconservationnamibia,1
C0502,oceanconservationnamibia,1
C0503,namyouthchamber,1
C0504,oceanconservationnamibia,1
C0505,giraffe_conservation,1
C0506,ehranamibia,1
C0507,oceanconservationnamibia,1
C0508,africat_foundation,1
C0509,oceanconservationnamibia,1
C0510,namyouthchamber,1
C0511,oceanconservationnamibia,2
C0512,oceanconservationnamibia,3
C0513,giraffe_conservation,2
C0514,oceanconservationnamibia,3
C0515,giraffe_conservation,1
C0516,oceanconservationnamibia,1
C0517,ccfcheetah,3
C0518,ccfcheetah,1
C0519,oceanconservationnamibia,1
C0520,africat_foundation,1
C0521,oceanconservationnamibia,2
C0522,oceanconservationnamibia,6
C0523,oceanconservationnamibia,1
C0524,giraffe_conservation,1
C0525,ccfcheetah,5
C0526,oceanconservationnamibia,1
C0527,oceanconservationnamibia,5
C0528,oceanconservationnamibia,1
C0529,naankuse_foundation,1
C0530,africat_foundation,2
C0531,oceanconservationnamibia,3
C0532,ccfcheetah,1
C0533,namyouthchamber,2
C0535,africat_foundation,1
C0535,ehranamibia,2
C0535,giraffe_conservation,7
C0536,oceanconservationnamibia,1
C0537,oceanconservationnamibia,3
C0538,africat_foundation,1
C0539,oceanconservationnamibia,2
C0540,ehranamibia,1
C0541,wwfnamibia,1
C0542,giraffe_conservation,1
C0543,oceanconservationnamibia,8
C0544,ehranamibia,1
C0545,oceanconservationnamibia,1
C0546,oceanconservationnamibia,1
C0547,oceanconservationnamibia,1
C0548,desertlionconservation,1
C0549,harnaswildlifefoundation,1
C0550,oceanconservationnamibia,1
C0551,oceanconservationnamibia,1
C0552,africat_foundation,1
C0556,oceanconservationnamibia,1
C0557,ccfcheetah,1
C0558,oceanconservationnamibia,2
C0559,ehranamibia,1
C0560,oceanconservationnamibia,1
C0561,ccfcheetah,1
C0562,ongavagamereserve,1
C0563,africat_foundation,1
C0564,ehranamibia,1
C0565,ccfcheetah,3
C0566,oceanconservationnamibia,1
C0567,harnaswildlifefoundation,1
C0568,oceanconservationnamibia,1
C0569,oceanconservationnamibia,3
C0570,giraffe_conservation,14
C0571,ccfcheetah,1
C0572,oceanconservationnamibia,4
C0573,ccfcheetah,1
C0573,giraffe_conservation,1
C0574,oceanconservationnamibia,1
C0575,oceanconservationnamibia,1
C0576,ccfcheetah,2
C0577,giraffe_conservation,1
C0578,oceanconservationnamibia,1
C0579,giraffe_conservation,1
C0580,giraffe_conservation,3
C0581,oceanconservationnamibia,1
C0582,oceanconservationnamibia,1
C0583,oceanconservationnamibia,1
C0584,oceanconservationnamibia,1
C0585,oceanconservationnamibia,1
C0586,oceanconservationnamibia,5
C0587,giraffe_conservation,1
C0588,giraffe_conservation,1
C0589,oceanconservationnamibia,1
C0590,naankuse_foundation,2
C0591,ccfcheetah,1
C0592,naankuse_foundation,2
C0593,ccfcheetah,1
C0594,naankuse_foundation,1
C0595,ccfcheetah,2
C0596,namyouthchamber,2
C0597,ehranamibia,1
C0598,giraffe_conservation,1
C0599,oceanconservationnamibia,1
C0601,harnaswildlifefoundation,1
C0603,oceanconservationnamibia,1
C0604,oceanconservationnamibia,1
C0605,oceanconservationnamibia,1
C0606,oceanconservationnamibia,1
C0607,oceanconservationnamibia,1
C0608,oceanconservationnamibia,2
C0609,oceanconservationnamibia,7
C0610,giraffe_conservation,1
C0611,ccfcheetah,5
C0612,oceanconservationnamibia,2
C0613,oceanconservationnamibia,2
C0614,naankuse_foundation,1
C0615,oceanconservationnamibia,2
C0616,giraffe_conservation,23
C0617,ehranamibia,2
C0618,oceanconservationnamibia,2
C0619,oceanconservationnamibia,8
C0620,naankuse_foundation,1
C0621,oceanconservationnamibia,1
C0622,oceanconservationnamibia,1
C0623,oceanconservationnamibia,1
C0624,giraffe_conservation,1
C0625,ccfcheetah,1
C0626,africat_foundation,1
C0627,oceanconservationnamibia,1
C0628,gobabeb,1
C0630,oceanconservationnamibia,1
C0631,oceanconservationnamibia,1
C0632,ccfcheetah,1
C0633,giraffe_conservation,18
C0634,ccfcheetah,1
C0635,ccfcheetah,1
C0636,ccfcheetah,1
C0637,oceanconservationnamibia,1
C0638,africat_foundation,1
C0639,naankuse_foundation,1
C0640,naankuse_foundation,1
C0641,oceanconservationnamibia,1
C0642,oceanconservationnamibia,2
C0643,savetherhinonamibia,1
C0644,oceanconservationnamibia,1
C0645,oceanconservationnamibia,1
C0646,oceanconservationnamibia,1
C0647,ehranamibia,3
C0648,ccfcheetah,22
C0648,harnaswildlifefoundation,1
C0649,oceanconservationnamibia,1
C0650,gobabeb,1
C0651,oceanconservationnamibia,2
C0652,africat_foundation,1
C0653,oceanconservationnamibia,1
C0654,giraffe_conservation,1
C0655,oceanconservationnamibia,1
C0656,africat_foundation,1
C0657,oceanconservationnamibia,1
C0658,oceanconservationnamibia,4
C0659,ccfcheetah,1
C0660,oceanconservationnamibia,1
C0661,oceanconservationnamibia,1
C0662,oceanconservationnamibia,1
C0663,africat_foundation,1
C0664,africat_foundation,1
C0667,oceanconservationnamibia,1
C0668,oceanconservationnamibia,1
C0669,oceanconservationnamibia,4
C0670,naankuse_foundation,5
C0671,oceanconservationnamibia,2
C0672,oceanconservationnamibia,1
C0673,harnaswildlifefoundation,1
C0674,ehranamibia,6
C0675,oceanconservationnamibia,1
C0676,ccfcheetah,1
C0677,ccfcheetah,1
C0678,oceanconservationnamibia,1
C0679,ehranamibia,1
C0680,oceanconservationnamibia,2
C0681,ccfcheetah,1
C0682,ehranamibia,1
C0683,oceanconservationnamibia,1
C0684,ccfcheetah,7
C0685,oceanconservationnamibia,1
C0686,oceanconservationnamibia,13
C0687,ccfcheetah,1
C0688,oceanconservationnamibia,4
C0689,giraffe_conservation,1
C0690,ccfcheetah,2
C0691,giraffe_conservation,4
C0692,oceanconservationnamibia,1
C0693,ccfcheetah,1
C0694,ehranamibia,1
C0695,oceanconservationnamibia,1
C0696,oceanconservationnamibia,1
C0697,giraffe_conservation,2
C0698,ehranamibia,1
C0699,oceanconservationnamibia,3
C0700,ccfcheetah,1
C0701,oceanconservationnamibia,2
C0702,savetherhinonamibia,1
C0703,ehranamibia,1
C0704,oceanconservationnamibia,1
C0705,giraffe_conservation,1
C0706,oceanconservationnamibia,2
C0707,oceanconservationnamibia,1
C0708,naankuse_foundation,1
C0709,ongavagamereserve,1
C0710,giraffe_conservation,1
C0711,namyouthchamber,1
C0712,eif_namibia,1
C0713,ongavagamereserve,1
C0714,oceanconservationnamibia,1
C0715,ongavagamereserve,1
C0716,ccfcheetah,3
C0716,naankuse_foundation,1
C0717,ccfcheetah,1
C0718,ehranamibia,1
C0719,africat_foundation,1
C0720,harnaswildlifefoundation,1
C0721,ccfcheetah,1
C0723,ehranamibia,2
C0724,namyouthchamber,1
C0725,ccfcheetah,1
C0726,oceanconservationnamibia,1
C0727,ccfcheetah,1
C0728,ccfcheetah,2
C0729,ccfcheetah,1
C0730,oceanconservationnamibia,1
C0731,oceanconservationnamibia,1
C0732,oceanconservationnamibia,1
C0733,ccfcheetah,1
C0734,africat_foundation,1
C0735,naankuse_foundation,4
C0736,ccfcheetah,2
C0737,oceanconservationnamibia,2
C0738,africat_foundation,1
C0739,ccfcheetah,1
C0740,oceanconservationnamibia,1
C0741,ccfcheetah,1
C0742,oceanconservationnamibia,1
C0743,oceanconservationnamibia,1
C0744,oceanconservationnamibia,2
C0745,oceanconservationnamibia,1
C0746,ehranamibia,1
C0747,giraffe_conservation,1
C0748,giraffe_conservation,1
C0749,ehranamibia,1
C0750,ehranamibia,1
C0751,harnaswildlifefoundation,5
C0752,ehranamibia,1
C0753,giraffe_conservation,1
C0754,gobabeb,1
C0755,ccfcheetah,1
C0756,ccfcheetah,1
C0757,giraffe_conservation,3
C0758,oceanconservationnamibia,3
C0759,giraffe_conservation,1
C0760,ccfcheetah,3
C0761,ccfcheetah,1
C0762,naankuse_foundation,1
C0763,oceanconservationnamibia,1
C0764,africat_foundation,1
C0765,oceanconservationnamibia,7
C0766,ongavagamereserve,1
C0767,oceanconservationnamibia,1
C0768,giraffe_conservation,1
C0769,oceanconservationnamibia,2
C0770,ccfcheetah,9
C0770,giraffe_conservation,14
C0771,giraffe_conservation,1
C0772,eif_namibia,1
C0773,ccfcheetah,1
C0774,ehranamibia,1
C0774,naankuse_foundation,1
C0775,ccfcheetah,4
C0776,ccfcheetah,1
C0777,ccfcheetah,1
C0778,africat_foundation,1
C0779,naankuse_foundation,1
C0780,ccfcheetah,1
C0780,giraffe_conservation,1
C0781,oceanconservationnamibia,3
C0782,ehranamibia,1
C0783,ccfcheetah,2
C0784,ccfcheetah,1
C0785,namibia_nature_foundation,1
C0786,giraffe_conservation,1
C0787,ccfcheetah,1
C0788,oceanconservationnamibia,1
C0791,ccfcheetah,2
C0792,oceanconservationnamibia,2
C0793,ccfcheetah,1
C0794,oceanconservationnamibia,2
C0795,ehranamibia,1
C0796,harnaswildlifefoundation,2
C0797,oceanconservationnamibia,2
C0798,oceanconservationnamibia,3
C0799,oceanconservationnamibia,1
C0801,naankuse_foundation,1
C0802,oceanconservationnamibia,1
C0803,ccfcheetah,3
C0804,oceanconservationnamibia,1
C0805,oceanconservationnamibia,2
C0807,oceanconservationnamibia,5
C0808,ccfcheetah,1
C0809,oceanconservationnamibia,1
C0810,harnaswildlifefoundation,1
C0811,oceanconservationnamibia,1
C0812,ccfcheetah,1
C0813,oceanconservationnamibia,1
C0814,oceanconservationnamibia,1
C0815,oceanconservationnamibia,1
C0816,oceanconservationnamibia,1
C0817,ccfcheetah,1
C0818,oceanconservationnamibia,1
C0819,tosconamibia,1
C0820,ccfcheetah,1
C0822,ehranamibia,1
C0823,naankuse_foundation,1
C0824,giraffe_conservation,1
C0825,africat_foundation,1
C0826,harnaswildlifefoundation,18
C0827,oceanconservationnamibia,5
C0828,ehranamibia,1
C0829,oceanconservationnamibia,1
C0830,oceanconservationnamibia,1
C0831,ministry_of_environment_nam,1
C0832,oceanconservationnamibia,1
C0833,africat_foundation,1
C0833,ehranamibia,2
C0834,africat_foundation,1
C0835,oceanconservationnamibia,1
C0836,oceanconservationnamibia,1
C0838,namyouthchamber,1
C0839,namyouthchamber,1
C0840,oceanconservationnamibia,2
C0841,namyouthchamber,2
C0842,ccfcheetah,1
C0843,giraffe_conservation,1
C0844,gobabeb,1
C0845,ehranamibia,4
C0846,africat_foundation,1
C0847,ccfcheetah,1
C0848,ccfcheetah,3
C0849,namyouthchamber,4
C0850,africat_foundation,1
C0851,africat_foundation,1
C0852,ehranamibia,1
C0853,naankuse_foundation,1
C0854,ccfcheetah,5
C0855,savetherhinonamibia,2
C0856,giraffe_conservation,1
C0857,oceanconservationnamibia,1
C0858,oceanconservationnamibia,2
C0859,ccfcheetah,1
C0860,ccfcheetah,4
C0861,oceanconservationnamibia,1
C0862,namyouthchamber,1
C0863,ehranamibia,1
C0864,oceanconservationnamibia,2
C0865,oceanconservationnamibia,2
C0866,oceanconservationnamibia,1
C0867,ehranamibia,1
C0868,oceanconservationnamibia,1
C0869,ccfcheetah,1
C0870,ccfcheetah,1
C0871,ehranamibia,3
C0872,ongavagamereserve,1
C0873,namibia_nature_foundation,1
C0874,ccfcheetah,1
C0875,naankuse_foundation,1
C0876,africat_foundation,2
C0877,oceanconservationnamibia,1
C0879,oceanconservationnamibia,2
C0880,gobabeb,1
C0881,africat_foundation,2
C0882,oceanconservationnamibia,1
C0883,oceanconservationnamibia,1
C0884,ongavagamereserve,1
C0885,harnaswildlifefoundation,1
C0886,africat_foundation,1
C0887,naankuse_foundation,1
C0888,desertlionconservation,1
C0889,naankuse_foundation,1
C0890,naankuse_foundation,10
C0891,naankuse_foundation,1
C0892,naankuse_foundation,1
C0893,africat_foundation,1
C0894,oceanconservationnamibia,1
C0896,oceanconservationnamibia,13
C0897,oceanconservationnamibia,1
C0898,ccfcheetah,1
C0899,oceanconservationnamibia,22
C0900,eif_namibia,1
C0901,oceanconservationnamibia,1
C0902,oceanconservationnamibia,2
C0903,savetherhinonamibia,1
C0904,oceanconservationnamibia,1
C0905,oceanconservationnamibia,1
C0906,desertlionconservation,1
C0907,gobabeb,1
C0908,giraffe_conservation,1
C0909,oceanconservationnamibia,2
C0910,ehranamibia,1
C0910,giraffe_conservation,1
C0911,ehranamibia,1
C0912,giraffe_conservation,1
C0913,ccfcheetah,1
C0914,savetherhinonamibia,1
C0915,oceanconservationnamibia,1
C0916,oceanconservationnamibia,2
C0917,ccfcheetah,3
C0918,ehranamibia,1
C0919,giraffe_conservation,1
C0921,nacso_namibia1,1
C0922,giraffe_conservation,3
