src_org,mentioned,is_own_org,weight
namyouthchamber,c0862,0,1
wwfnamibia,pro.namib,0,1
wwfnamibia,namibianpoliceforce,0,1
wwfnamibia,namibia_nature_foundation,1,1
wwfnamibia,namib_rand,0,1
africat_foundation,nadiasnijders_photography,0,1
wwfnamibia,mfmrnamibia,0,1
wwfnamibia,fao,0,1
wwfnamibia,c1114,0,1
tosconamibia,tosco.org,0,1
savetherhinonamibia,namibia_nature_foundation,1,1
savetherhinonamibia,ministry_of_environment_nam,1,1
africat_foundation,riccoseebach,0,1
oceanconservationnamibia,thenamibian,0,1
oceanconservationnamibia,odec_namibia,0,1
africat_foundation,wildlife_vets_namibia,0,1
oceanconservationnamibia,namibtimes,0,1
oceanconservationnamibia,mondesayouth,0,1
oceanconservationnamibia,charrier.isa,0,1
ccfcheetah,almonature_na,0,1
namyouthchamber,the.village_boy,0,1
namyouthchamber,soa_namibia,0,1
namyouthchamber,rural_power_solutions_na,0,1
namyouthchamber,okahaotowncouncil,0,1
namyouthchamber,namibia_nature_foundation,1,1
namyouthchamber,letsmakeokahaotowngreen,0,1
namyouthchamber,ium_environmental_society,0,1
namyouthchamber,girlupnamibia,0,1
namibia_nature_foundation,legacylandscapesfund,0,1
namibia_nature_foundation,greenclimatefund,0,1
namibia_nature_foundation,irdnc.namibia,0,1
giraffe_conservation,cms.migratory.species,0,1
giraffe_conservation,tawa_tanzania,0,1
giraffe_conservation,tanapa,0,1
giraffe_conservation,spaceforgiants,0,1
giraffe_conservation,smithsonianzoo,0,1
giraffe_conservation,savingrwandawildlife,0,1
giraffe_conservation,conservationxlabs,0,1
giraffe_conservation,sanparks,0,1
giraffe_conservation,sandiegozoo,0,1
giraffe_conservation,cslzambia,0,1
giraffe_conservation,sabiegame,0,1
giraffe_conservation,rememberingwildlife,0,1
giraffe_conservation,pro.namib,0,1
giraffe_conservation,pjarquek,0,1
giraffe_conservation,peaceparks,0,1
giraffe_conservation,parquenacionaldemaputo,0,1
giraffe_conservation,ewca_eth,0,1
giraffe_conservation,nsangaconservation,0,1
giraffe_conservation,ngorongoro_insights,0,1
giraffe_conservation,frankfurt.zoological.society,0,1
giraffe_conservation,narok_county_official,0,1
giraffe_conservation,namibiandroneacademy,0,1
giraffe_conservation,frederikeotten,0,1
giraffe_conservation,gurcharan,0,1
giraffe_conservation,mkwc_ke,0,1
giraffe_conservation,meha.kumar_,0,1
giraffe_conservation,martin_harvey_photography,0,1
giraffe_conservation,makerere,0,1
giraffe_conservation,tawiri_tanzania,0,1
giraffe_conservation,thewcs,0,1
namibia_nature_foundation,iisd_org,0,1
giraffe_conservation,tonywildke,0,1
giraffe_conservation,klein_nettoh,0,1
giraffe_conservation,_sungani_,0,1
namibia_nature_foundation,eduventuresnamibia,0,1
giraffe_conservation,africageo,0,1
namibia_nature_foundation,blueactionfund,0,1
nacso_namibia1,namibia_nature_foundation,1,1
nacso_namibia1,nacso.org.na,0,1
giraffe_conservation,aiaiba_the_rockpainting_lodge,0,1
giraffe_conservation,anthony_ochieng_onyango,0,1
giraffe_conservation,bewildaid,0,1
giraffe_conservation,bigskyafricasafaris,0,1
ministry_of_environment_nam,giznamibia,0,1
gobabeb,wbg,0,1
gobabeb,vitenskapsmuseet_ntnu,0,1
gobabeb,sajorec,0,1
gobabeb,royalvetcollege,0,1
gobabeb,nustnamibia,0,1
giraffe_conservation,bushcampcompany,0,1
giraffe_conservation,william_luwaga,0,1
giraffe_conservation,c0579,0,1
giraffe_conservation,c0872,0,1
giraffe_conservation,c0958,0,1
giraffe_conservation,uwauganda,0,1
giraffe_conservation,c0974,0,1
giraffe_conservation,c1112,0,1
africat_foundation,jjsnijders_photography,0,1
giraffe_conservation,cheyennemountainzoo,0,1
africat_foundation,c1089,0,1
