Post_ID,src_org,mentioned,is_own_org
DXGonOCjTav,oceanconservationnamibia,c0963,0
DXHHXHCCcgT,oceanconservationnamibia,c0963,0
DXQrA_0jvq3,oceanconservationnamibia,odec_namibia,0
DXQrA_0jvq3,oceanconservationnamibia,kingsleyholgatefoundation,0
DTK_tKrDXs3,ehranamibia,ehranamibia.org,0
DTH5ocQDAMc,ehranamibia,c0674,0
DTigcpbjOyn,wwfnamibia,wwf.na,0
DSUkrmxDAR0,ehranamibia,ehranamibia.org,0
DSUkrmxDAR0,ehranamibia,conservation.diaries,0
DQ_hYO8jUi7,gobabeb,royalvetcollege,0
DSnAE6BjL8j,ehranamibia,ehranamibia.org,0
DSnAE6BjL8j,ehranamibia,c0674,0
DSpk1urDKtR,ehranamibia,ehranamibia.org,0
DSpk1urDKtR,ehranamibia,c0674,0
DS4mHSFjKnm,ehranamibia,ehranamibia.org,0
DW8ZEQcGmuw,oceanconservationnamibia,thenamibian,0
DS1zuecDLC0,ehranamibia,c0674,0
DR9lkQmjMsq,ehranamibia,conservation.diaries,0
DRmBxuCjPTR,ehranamibia,ehranamibia.org,0
DRmBxuCjPTR,ehranamibia,c0674,0
DSErGl1jPiD,ehranamibia,savetheelephants,0
DRR08Jyiog6,namibia_nature_foundation,iisd_org,0
DRR08Jyiog6,namibia_nature_foundation,wwfnamibia,1
DWGc_DrGmla,oceanconservationnamibia,mondesayouth,0
DWGc_DrGmla,oceanconservationnamibia,kingsleyholgatefoundation,0
DRhQzupjAyP,ehranamibia,c0674,0
DWjhZ4BOz6Q,africat_foundation,pascal__ok,0
DW9k7GUDah6,giraffe_conservation,mlorentz23,0
DXE-OgWjDbf,africat_foundation,pascal__ok,0
DUqU3urCOlq,namibia_nature_foundation,unam_na,0
DUqU3urCOlq,namibia_nature_foundation,undpnamibia,0
DRHaAmiDJXM,ehranamibia,conservation.diaries,0
DVJYXnKjRBg,africat_foundation,pascal__ok,0
DQ_CaSgikVa,namibia_nature_foundation,greenclimatefund,0
DQ_CaSgikVa,namibia_nature_foundation,ministry_of_environment_nam,1
DXEHsmhjlft,savetherhinonamibia,marcuswestbergphotography,0
DS7ycYNDEFD,africat_foundation,okonjima_nature_reserve,0
DS7ycYNDEFD,africat_foundation,pascal__ok,0
DQ1RoI8DCa2,ehranamibia,c0674,0
DQoS5CdDHLo,ehranamibia,c0674,0
DQ6Ud-djNHm,ehranamibia,ehranamibia.org,0
DRRgrmyjLcD,ehranamibia,ehranamibia.org,0
