hashtag,count,tag_class
crossbordermovements,1,community_other
giraffeafricadatabase,1,branded
giraffepopulation,1,branded
giraffecomeback,1,branded
aipoweredcoservation,1,community_other
giraffeneck,1,branded
jackals,1,community_other
giraffehabitats,1,branded
girafecalf,1,community_other
conservationists,1,community_other
merunationalpark,1,community_other
wildlifeprotected,1,community_other
maraecosystem,1,community_other
giraffesurveys,1,branded
elephant,1,community_other
spinedeformity,1,community_other
raresighting,1,community_other
giraffeautonamy,1,branded
rhino,1,branded
africanwilddogs,1,community_other
rewilding,1,community_other
worldrewildingday,1,campaign
ongava,1,branded
wildliferehabilitation,1,community_other
secondchances,1,community_other
ourplanet,1,community_other
ourpower,1,community_other
onlyattimbila,1,community_other
hippos,1,community_other
hippolife,1,community_other
nambia,1,community_other
quadbiking,1,community_other
baboon,1,community_other
athletics,1,community_other
reels,1,community_other
babyboom,1,community_other
babygiraffe,1,branded
cheetahs,1,branded
goatsofinstagram,1,community_other
internationalwomensday,1,campaign
worldbookday,1,campaign
reading,1,community_other
giraffeidentification,1,branded
giraffesightings,1,branded
luangwagiraffe,1,branded
luangwavalley,1,community_other
gpstagging,1,community_other
artist,1,community_other
savannahlandscape,1,community_other
waterconservation,1,community_other
handsonexperience,1,community_other
translocations,1,community_other
giraffetranslocations,1,branded
proectinggiraffe,1,branded
conservationaction,1,community_other
diy,1,community_other
surprise,1,community_other
natureinfocus,1,community_other
wildfires,1,community_other
savannahfires,1,community_other
geneticstudies,1,community_other
giraffebiopsy,1,branded
tissuesamples,1,community_other
genomeanalysis,1,community_other
teamnosleep,1,community_other
valentines,1,community_other
stem,1,community_other
taylorswift,1,community_other
independenceday2026,1,campaign
restorationproject,1,community_other
resilience,1,community_other
nationaladaptationplan,1,community_other
partnershipsforthegoals,1,community_other
appliedresearch,1,community_other
masaimara,1,community_other
fences,1,community_other
gpstags,1,community_other
movementecology,1,community_other
climatevariability,1,community_other
internationaldayofforests,1,campaign
annualreport,1,community_other
thanksgiving,1,community_other
gratitude,1,community_other
cheetahcubs,1,branded
solsquare,1,community_other
worldcheetahday,1,campaign
wildlifecredits,1,community_other
warmbad,1,community_other
karasburg,1,community_other
nationalmuseumofnamibia,1,branded
biodiversityresearch,1,community_other
namibianature,1,branded
gariepcentre,1,community_other
environmentalresearch,1,community_other
protectourplanet,1,community_other
scienceinaction,1,community_other
museumlife,1,community_other
africanbiodiversity,1,community_other
youthforclimate,1,community_other
climateactionnow,1,community_other
biodiversityeconomy,1,community_other
bushmanhoney,1,community_other
youthinconservation,1,community_other
beekeepingforchange,1,community_other
womeninstem,1,community_other
forpeoplefornature,1,community_other
requestforproposals,1,community_other
erongo,1,community_other
eueiaproject,1,community_other
environmentalgovernance,1,community_other
environmentalimpactassessment,1,community_other
communityvoices,1,community_other
responsibledevelopment,1,community_other
euinnamibia,1,branded
environmentallaw,1,community_other
stakeholderdialogue,1,community_other
communityfisheries,1,community_other
kazaregion,1,community_other
kazatfca,1,community_other
bwabwatanationalpark,1,community_other
treeplanting,1,community_other
restorenature,1,community_other
landrestoration,1,community_other
sustainablefutures,1,community_other
namibiaforlife,1,branded
pfp,1,community_other
conservationfinance,1,community_other
mnm,1,community_other
windhoek,1,community_other
nmn,1,community_other
jrsbiodiversityfoundation,1,community_other
specifydatabase,1,community_other
biodiversitydata,1,community_other
conservationplanning,1,community_other
naturalhistorycollections,1,community_other
biodiversityinformatics,1,community_other
namibiabiodiversity,1,branded
datamanagement,1,community_other
1,1,community_other
fish,1,community_other
vitenskapsmuseet,1,community_other
ntnuvitenskapsmuseet,1,community_other
throwback,1,community_other
youthfornature,1,community_other
bioeconomy,1,community_other
africabiodiversitysummit,1,community_other
