Post_ID,hashtag,tag_class
DWws0QXjeph,successstory,community_other
DWws0QXjeph,nextgenconservationists,community_other
DWws0QXjeph,futureleaders,community_other
DWws0QXjeph,gcf,community_other
DVX-MaIDs-A,savetherhino,branded
DVX-MaIDs-A,blackrhino,branded
DVX-MaIDs-A,namibia,generic
DU8LQZCDHZD,throwbackthursday,campaign
DU8LQZCDHZD,kaza,community_other
DU8LQZCDHZD,coexistence,community_other
DU8LQZCDHZD,conservationinaction,community_other
DWgEfuPDuiu,savetherhino,branded
DWgEfuPDuiu,participatorymonitoring,community_other
DWgEfuPDuiu,blackrhino,branded
DW4bUExGWiB,giraffeconservationfoundation,branded
DW4bUExGWiB,giraffeconservation,branded
DW4bUExGWiB,combinedefforts,community_other
DW4bUExGWiB,savegiraffe,branded
DW4bUExGWiB,protectgiraffe,branded
DW4bUExGWiB,wildlife,generic
DW4bUExGWiB,standtallforgiraffe,branded
DW4bUExGWiB,silentextinction,community_other
DW4bUExGWiB,africawildlife,community_other
DW4bUExGWiB,gcf,community_other
DWrjZFUDvNu,giraffeconservationfoundation,branded
DWrjZFUDvNu,giraffeconservation,branded
DWrjZFUDvNu,tgif,community_other
DWrjZFUDvNu,thankgiraffeitsfriday,campaign
DWrjZFUDvNu,malegiraffe,branded
DWrjZFUDvNu,reticulatedgiraffe,branded
DWrjZFUDvNu,giraffeinthewild,branded
DWrjZFUDvNu,wildlifelovers,community_other
DWrjZFUDvNu,naturelovers,community_other
DWrjZFUDvNu,giraffelovers,branded
DWrjZFUDvNu,giraffe,branded
DWrjZFUDvNu,gcf,community_other
DWmZr1-Ewni,giraffeconservationfoundation,branded
DWmZr1-Ewni,giraffeconservation,branded
DWmZr1-Ewni,savannahsonatas,community_other
DWmZr1-Ewni,wildlifemusic,community_other
DWmZr1-Ewni,naturediscovery,community_other
DWmZr1-Ewni,aprilfools,community_other
DWmZr1-Ewni,gcf,community_other
DTfkmjZiIqB,conservation,generic
DTfkmjZiIqB,leadership,community_other
DTfkmjZiIqB,communityempowerment,community_other
DTfkmjZiIqB,namibiajobs,branded
DTfkmjZiIqB,nti,community_other
DTxc-x1iMoN,cci_hub,community_other
DTxc-x1iMoN,communityconservation,community_other
DTxc-x1iMoN,conservationcollaboration,community_other
DTxc-x1iMoN,protectnamibia,branded
DTxc-x1iMoN,protectsadc,community_other
DTxc-x1iMoN,communityled,community_other
DTxc-x1iMoN,africanconservation,community_other
DTxc-x1iMoN,clockitpose,community_other
DTxc-x1iMoN,partnersinconservation,community_other
DTxc-x1iMoN,cln,community_other
DTxc-x1iMoN,leadership,community_other
DRe7J7VjG1W,nacso,branded
DRe7J7VjG1W,leadershiptraining,community_other
DRe7J7VjG1W,capacitybuilding,community_other
DRe7J7VjG1W,leadingothers,community_other
DRe7J7VjG1W,empoweredcommunitiesconference,community_other
DRb4AbSDIld,nacso,branded
DRb4AbSDIld,leadershiptraining,community_other
DRb4AbSDIld,capacitybuilding,community_other
DRb4AbSDIld,communityempowerment,community_other
DRb4AbSDIld,leadingself,community_other
DSJ-pEaCZpG,savetherhinotrust,branded
DSJ-pEaCZpG,wildnamibia,branded
DSJ-pEaCZpG,sustainabletourism,community_other
DSRtCbRj9Wv,savetherhinotrust,branded
DSRtCbRj9Wv,namibiarhinos,branded
DQrx5BLD64o,wilderness,community_other
DQrx5BLD64o,venturemedia,community_other
DQrx5BLD64o,namibiachamberofenvitonment,branded
DQrx5BLD64o,cymot,community_other
DQrx5BLD64o,rmbnamibia,branded
DRJmoBPDER3,protectnamibia,branded
DRJmoBPDER3,naturalresourcesmanagement,community_other
DRJmoBPDER3,conservationnamibia,branded
DRJmoBPDER3,sustainablecommunities,community_other
DRKRMspjOJr,protectnamibia,branded
DRKRMspjOJr,cbnrm,community_other
DRKRMspjOJr,conservationnamibia,branded
DRKRMspjOJr,sustainablecommunities,community_other
DRPZSnICLAt,cbnrm,community_other
DRPZSnICLAt,communityforestry,community_other
DRPZSnICLAt,conservencies,community_other
DXJOpNMFqRt,naankuse,branded
DXJOpNMFqRt,epukiro,community_other
DXwfTUBjkcO,cheetah,branded
DXwfTUBjkcO,cheetahconservation,branded
DXwfTUBjkcO,wildlifeconservation,community_other
DXwfTUBjkcO,conservation,generic
DXwfTUBjkcO,ccfcheetah,branded
DROvNLoDNmc,cbnrm,community_other
DQoIHPqDDxC,workplacewellness,community_other
DQoIHPqDDxC,healthyliving,community_other
DQoIHPqDDxC,employeecare,community_other
DW9k8REk6pa,naankuse,branded
DW9k8REk6pa,naankusefoundation,branded
DW9k8REk6pa,baboons,community_other
DW9k8REk6pa,conservation,generic
DW9k8REk6pa,kyknet,community_other
DW9k8REk6pa,groennamibië,community_other
DRC9C5yCNUK,collaboration,community_other
DRC9C5yCNUK,savetherhinotrustnamibia,branded
DRC9C5yCNUK,partnership,community_other
DRC9C5yCNUK,conservation,generic
DRNXF-BgS9b,savetherhinotrust,branded
DRNXF-BgS9b,conservation,generic
DRNXF-BgS9b,savetherhinointernational,branded
DRNXF-BgS9b,namibianaturefoundation,branded
DXxKLyiGcYl,dogs,community_other
DXxKLyiGcYl,puppies,community_other
DXxKLyiGcYl,workingdogs,community_other
DXxKLyiGcYl,livestockguardiandog,community_other
DXxKLyiGcYl,ccfcheetah,branded
DXGjtBPFtcW,naankuse,branded
DXGjtBPFtcW,lifelineclinic,community_other
DXO2wrHFpDS,namibia,generic
DXWIgNFloaI,naankuse,branded
DXMHXGjlv3g,naankuse,branded
DXMHXGjlv3g,lifelineclinicallaboratory,community_other
DVwU7pzDM_m,giraffeconservationfoundation,branded
DVwU7pzDM_m,ionanationalpark,community_other
DVwU7pzDM_m,angolangiraffe,branded
DVwU7pzDM_m,successstories,community_other
DVwU7pzDM_m,successfultranslocations,community_other
DVwU7pzDM_m,wildlifetranslocations,community_other
DVwU7pzDM_m,healthyhabitats,community_other
DVwU7pzDM_m,gcf,community_other
DV6oG8iDJKi,giraffeconservationfoundation,branded
DV6oG8iDJKi,giraffeconservation,branded
DV6oG8iDJKi,voiceforgiraffe,branded
DV6oG8iDJKi,savannascience,community_other
DV6oG8iDJKi,krugernp,community_other
DV6oG8iDJKi,conservationleadership,community_other
DV6oG8iDJKi,scientificcollaboration,community_other
DV6oG8iDJKi,southafrica,community_other
DV6oG8iDJKi,standtall,community_other
DV6oG8iDJKi,gcf,community_other
DVomlnGjA8A,giraffeconservationfoundation,branded
DVomlnGjA8A,allosuckling,community_other
DVomlnGjA8A,allosucklingbehaviour,community_other
DVomlnGjA8A,giraffebehaviour,branded
DVomlnGjA8A,maternalcooperation,community_other
DVomlnGjA8A,giraffeherds,branded
DVomlnGjA8A,giraffesocialunits,branded
DVomlnGjA8A,gcf,community_other
DWHgHlgj4h3,giraffeconservationfoundation,branded
DWHgHlgj4h3,giraffebeauty,branded
DWHgHlgj4h3,tgif,community_other
DWHgHlgj4h3,thankgiraffeitsfriday,campaign
DWHgHlgj4h3,giraffecalves,branded
DWHgHlgj4h3,naturelovers,community_other
DWHgHlgj4h3,giraffelove,branded
DWHgHlgj4h3,affectionategiraffe,branded
DWHgHlgj4h3,giraffe,branded
DWHgHlgj4h3,gcf,community_other
DWCWeXDDvpY,giraffeconservationfoundation,branded
DWCWeXDDvpY,giraffeconservation,branded
DWCWeXDDvpY,giraffegenetics,branded
DWCWeXDDvpY,standtallforgiraffe,branded
DWCWeXDDvpY,highlevelscience,community_other
