round,ad_name,region,impressions,reach,link_clicks
1,WC_socialnorm_1,Omaheke Region,159,145,0
1,WC_socialnorm_1,Omusati Region,224,208,0
1,WC_socialnorm_1,Oshana Region,1294,1180,6
1,WC_socialnorm_1,Oshikoto Region,359,341,0
1,WC_socialnorm_1,Otjozondjupa Region,1027,926,6
1,WC_socialnorm_1,Unknown,10,10,0
1,WC_socialnorm_1,Zambezi Region,220,201,0
1,WC_socialnorm_1,ǁKaras Region,675,608,2
1,WC_socialnorm_2,Erongo Region,2294,2058,9
1,WC_socialnorm_2,Hardap Region,557,511,2
1,WC_socialnorm_2,Kavango East,435,414,2
1,WC_socialnorm_2,Khomas Region,9918,9004,39
1,WC_socialnorm_2,Kunene Region,153,139,1
1,WC_socialnorm_2,Ohangwena Region,180,167,2
1,WC_socialnorm_2,Omaheke Region,170,153,2
1,WC_socialnorm_2,Omusati Region,217,202,0
1,WC_socialnorm_2,Oshana Region,1269,1148,4
1,WC_socialnorm_2,Oshikoto Region,347,308,1
1,WC_socialnorm_2,Otjozondjupa Region,1013,890,1
1,WC_socialnorm_2,Unknown,13,13,0
1,WC_socialnorm_2,Zambezi Region,201,174,0
1,WC_socialnorm_2,ǁKaras Region,669,604,1
1,WC_socialnorm_3,Erongo Region,2275,2028,7
1,WC_socialnorm_3,Hardap Region,464,411,4
1,WC_socialnorm_3,Kavango East,396,340,2
1,WC_socialnorm_3,Khomas Region,10017,8550,80
1,WC_socialnorm_3,Kunene Region,124,110,2
1,WC_socialnorm_3,Ohangwena Region,177,167,2
1,WC_socialnorm_3,Omaheke Region,160,146,1
1,WC_socialnorm_3,Omusati Region,196,175,1
1,WC_socialnorm_3,Oshana Region,1180,1043,9
1,WC_socialnorm_3,Oshikoto Region,361,327,3
1,WC_socialnorm_3,Otjozondjupa Region,889,779,2
1,WC_socialnorm_3,Unknown,16,13,0
1,WC_socialnorm_3,Zambezi Region,208,185,0
1,WC_socialnorm_3,ǁKaras Region,635,556,2
1,WC_narrative_1,Erongo Region,2359,2179,13
1,WC_narrative_1,Hardap Region,460,426,4
1,WC_narrative_1,Kavango East,459,425,6
1,WC_narrative_1,Khomas Region,10061,9322,80
1,WC_narrative_1,Kunene Region,153,139,1
1,WC_narrative_1,Ohangwena Region,157,147,0
1,WC_narrative_1,Omaheke Region,161,149,1
1,WC_narrative_1,Omusati Region,208,193,1
1,WC_narrative_1,Oshana Region,1247,1162,8
1,WC_narrative_1,Oshikoto Region,358,327,2
1,WC_narrative_1,Otjozondjupa Region,1012,910,6
1,WC_narrative_1,Unknown,16,13,0
1,WC_narrative_1,Zambezi Region,193,179,0
1,WC_narrative_1,ǁKaras Region,654,579,2
1,WC_narrative_2,Erongo Region,2531,2221,7
1,WC_narrative_2,Hardap Region,554,503,5
1,WC_narrative_2,Kavango East,456,402,3
1,WC_narrative_2,Khomas Region,10896,9281,66
1,WC_narrative_2,Kunene Region,150,142,2
1,WC_narrative_2,Ohangwena Region,182,170,0
1,WC_narrative_2,Omaheke Region,158,141,2
1,WC_narrative_2,Omusati Region,232,206,0
1,WC_narrative_2,Oshana Region,1339,1194,5
1,WC_narrative_2,Oshikoto Region,394,355,3
1,WC_narrative_2,Otjozondjupa Region,1017,926,4
1,WC_narrative_2,Unknown,9,7,0
1,WC_narrative_2,Zambezi Region,236,216,2
1,WC_narrative_2,ǁKaras Region,685,613,0
1,WC_narrative_3,Erongo Region,2414,2190,19
1,WC_narrative_3,Hardap Region,583,538,0
1,WC_narrative_3,Kavango East,407,373,2
1,WC_narrative_3,Khomas Region,9855,8919,54
1,WC_narrative_3,Kunene Region,166,153,1
1,WC_narrative_3,Ohangwena Region,179,163,3
1,WC_narrative_3,Omaheke Region,177,164,0
1,WC_narrative_3,Omusati Region,206,196,1
1,WC_narrative_3,Oshana Region,1219,1119,5
1,WC_narrative_3,Oshikoto Region,380,337,2
1,WC_narrative_3,Otjozondjupa Region,993,910,3
1,WC_narrative_3,Unknown,12,10,0
1,WC_narrative_3,Zambezi Region,220,200,1
1,WC_narrative_3,ǁKaras Region,651,605,5
