CTA_Type,topic,topic_name,top_words,n_comments,pct_within_cta
Event,26,26_close_congrats_know_congratulations,"close, congrats, know, congratulations, , , ,",3,4.8
Event,18,18_reach_going_face_ve,"reach, going, face, ve, wait, pictures, doing amazing, able",2,3.2
Event,19,19_wish___,"wish, , , , , , ,",2,3.2
Event,21,21_adorable_let_need_birthday,"adorable, let, need, birthday, know, happy, doing amazing, november",2,3.2
Event,24,24_does_project_volunteer_looking,"does, project, volunteer, looking, look, hi, sign, proposal",2,3.2
Event,1,1_amazing beautiful_grazie_thanks_beautiful,"amazing beautiful, grazie, thanks, beautiful, amazing, , ,",1,1.6
Event,5,5_beautiful_cute_adorable_beauty,"beautiful, cute, adorable, beauty, precious, looks, puppies, doesn",1,1.6
Event,9,9_miss_oh_hi_definitely,"miss, oh, hi, definitely, taking, rachel, night, respect",1,1.6
Event,10,10_guy_perfect_poor_love,"guy, perfect, poor, love, time, like, little, baby",1,1.6
Event,15,15_grazie_program_für_bravo,"grazie, program, für, bravo, videos, oh, danke,",1,1.6
Event,28,28_happy_birthday_day_today,"happy, birthday, day, today, check, long, live, baby",1,1.6
Learn,0,0_right_sad_know_beautiful,"right, sad, know, beautiful, love, , ,",75,21
Learn,-1,-1_god_love_bless_god bless,"god, love, bless, god bless, guys, thank, wow, good",57,16
Learn,NA,unassigned,,51,14.3
Learn,1,1_amazing beautiful_grazie_thanks_beautiful,"amazing beautiful, grazie, thanks, beautiful, amazing, , ,",26,7.3
Learn,5,5_beautiful_cute_adorable_beauty,"beautiful, cute, adorable, beauty, precious, looks, puppies, doesn",15,4.2
Learn,19,19_wish___,"wish, , , , , , ,",14,3.9
Learn,4,4_work_great work_job_good job,"work, great work, job, good job, work guys, great, love work, thanks",11,3.1
Learn,21,21_adorable_let_need_birthday,"adorable, let, need, birthday, know, happy, doing amazing, november",11,3.1
Learn,13,13_animals_conservation_animal_make,"animals, conservation, animal, make, wildlife, earth, important, humans",9,2.5
Learn,6,6_congratulations_congrats_wait_news,"congratulations, congrats, wait, news, proud, end, time, experience",8,2.2
Learn,18,18_reach_going_face_ve,"reach, going, face, ve, wait, pictures, doing amazing, able",8,2.2
Learn,8,8_ya_natural_grazie_animal,"ya, natural, grazie, animal, love, , ,",7,2
Learn,12,12_fantastic_cool_amazing_brilliant,"fantastic, cool, amazing, brilliant, incredible, great, beautiful amazing, 000",7,2
Learn,26,26_close_congrats_know_congratulations,"close, congrats, know, congratulations, , , ,",7,2
Learn,2,2_good job_thing_precious_poor,"good job, thing, precious, poor, job, good, ,",6,1.7
Learn,10,10_guy_perfect_poor_love,"guy, perfect, poor, love, time, like, little, baby",6,1.7
Learn,3,3_ehra_experience_best_volunteering,"ehra, experience, best, volunteering, life, stay, amazing, time",5,1.4
Learn,9,9_miss_oh_hi_definitely,"miss, oh, hi, definitely, taking, rachel, night, respect",5,1.4
Learn,16,16_heroes_real_little_god bless,"heroes, real, little, god bless, witness, bless, said, thank god",4,1.1
Learn,22,22_animals_creatures_thank saving_precious,"animals, creatures, thank saving, precious, saving, thank, planet, humans",4,1.1
