id,condition,scale,item_num,item_id,score
19,Empathy,NORM,6,NORM_6,2
19,Empathy,NAR,7,NAR_7,5
19,Empathy,NAR,8,NAR_8,5
19,Empathy,NAR,9,NAR_9,3
19,Empathy,CTRL1,10,CTRL1_10,3
19,Empathy,CTRL2,11,CTRL2_11,5
19,Narrative,EMP,1,EMP_1,5
19,Narrative,EMP,2,EMP_2,4
19,Narrative,EMP,3,EMP_3,2
19,Narrative,NORM,4,NORM_4,4
19,Narrative,NORM,5,NORM_5,2
19,Narrative,NORM,6,NORM_6,2
19,Narrative,NAR,7,NAR_7,4
19,Narrative,NAR,8,NAR_8,4
19,Narrative,NAR,9,NAR_9,4
19,Narrative,CTRL1,10,CTRL1_10,4
19,Narrative,CTRL2,11,CTRL2_11,5
19,Neutral,EMP,1,EMP_1,5
19,Neutral,EMP,2,EMP_2,2
19,Neutral,EMP,3,EMP_3,2
19,Neutral,NORM,4,NORM_4,1
19,Neutral,NORM,5,NORM_5,2
19,Neutral,NORM,6,NORM_6,2
19,Neutral,NAR,7,NAR_7,2
19,Neutral,NAR,8,NAR_8,2
19,Neutral,NAR,9,NAR_9,2
19,Neutral,CTRL1,10,CTRL1_10,2
19,Neutral,CTRL2,11,CTRL2_11,5
19,Social Norm,EMP,1,EMP_1,2
19,Social Norm,EMP,2,EMP_2,3
19,Social Norm,EMP,3,EMP_3,2
19,Social Norm,NORM,4,NORM_4,4
19,Social Norm,NORM,5,NORM_5,4
19,Social Norm,NORM,6,NORM_6,4
19,Social Norm,NAR,7,NAR_7,3
19,Social Norm,NAR,8,NAR_8,1
19,Social Norm,NAR,9,NAR_9,5
19,Social Norm,CTRL1,10,CTRL1_10,5
19,Social Norm,CTRL2,11,CTRL2_11,5
21,Empathy,EMP,1,EMP_1,4
21,Empathy,EMP,2,EMP_2,5
21,Empathy,EMP,3,EMP_3,4
21,Empathy,NORM,4,NORM_4,1
21,Empathy,NORM,5,NORM_5,1
21,Empathy,NORM,6,NORM_6,1
21,Empathy,NAR,7,NAR_7,3
21,Empathy,NAR,8,NAR_8,2
21,Empathy,NAR,9,NAR_9,3
21,Empathy,CTRL1,10,CTRL1_10,3
21,Empathy,CTRL2,11,CTRL2_11,3
21,Narrative,EMP,1,EMP_1,3
21,Narrative,EMP,2,EMP_2,3
21,Narrative,EMP,3,EMP_3,3
21,Narrative,NORM,4,NORM_4,4
21,Narrative,NORM,5,NORM_5,3
21,Narrative,NORM,6,NORM_6,3
21,Narrative,NAR,7,NAR_7,5
21,Narrative,NAR,8,NAR_8,5
21,Narrative,NAR,9,NAR_9,4
21,Narrative,CTRL1,10,CTRL1_10,3
21,Narrative,CTRL2,11,CTRL2_11,4
21,Neutral,EMP,1,EMP_1,4
21,Neutral,EMP,2,EMP_2,3
21,Neutral,EMP,3,EMP_3,3
21,Neutral,NORM,4,NORM_4,2
21,Neutral,NORM,5,NORM_5,2
21,Neutral,NORM,6,NORM_6,1
21,Neutral,NAR,7,NAR_7,4
21,Neutral,NAR,8,NAR_8,1
21,Neutral,NAR,9,NAR_9,3
21,Neutral,CTRL1,10,CTRL1_10,3
21,Neutral,CTRL2,11,CTRL2_11,4
21,Social Norm,EMP,1,EMP_1,4
21,Social Norm,EMP,2,EMP_2,4
21,Social Norm,EMP,3,EMP_3,4
21,Social Norm,NORM,4,NORM_4,5
21,Social Norm,NORM,5,NORM_5,5
21,Social Norm,NORM,6,NORM_6,5
21,Social Norm,NAR,7,NAR_7,5
21,Social Norm,NAR,8,NAR_8,1
21,Social Norm,NAR,9,NAR_9,4
21,Social Norm,CTRL1,10,CTRL1_10,5
21,Social Norm,CTRL2,11,CTRL2_11,5
22,Empathy,EMP,1,EMP_1,5
22,Empathy,EMP,2,EMP_2,5
22,Empathy,EMP,3,EMP_3,5
22,Empathy,NORM,4,NORM_4,3
22,Empathy,NORM,5,NORM_5,3
22,Empathy,NORM,6,NORM_6,3
22,Empathy,NAR,7,NAR_7,5
22,Empathy,NAR,8,NAR_8,5
22,Empathy,NAR,9,NAR_9,4
22,Empathy,CTRL1,10,CTRL1_10,5
22,Empathy,CTRL2,11,CTRL2_11,5
22,Narrative,EMP,1,EMP_1,5
22,Narrative,EMP,2,EMP_2,5
22,Narrative,EMP,3,EMP_3,5
22,Narrative,NORM,4,NORM_4,4
22,Narrative,NORM,5,NORM_5,4
22,Narrative,NORM,6,NORM_6,3
22,Narrative,NAR,7,NAR_7,5
22,Narrative,NAR,8,NAR_8,5
22,Narrative,NAR,9,NAR_9,5
22,Narrative,CTRL1,10,CTRL1_10,5
22,Narrative,CTRL2,11,CTRL2_11,5
22,Neutral,EMP,1,EMP_1,5
22,Neutral,EMP,2,EMP_2,5
22,Neutral,EMP,3,EMP_3,5
22,Neutral,NORM,4,NORM_4,4
22,Neutral,NORM,5,NORM_5,3
22,Neutral,NORM,6,NORM_6,3
22,Neutral,NAR,7,NAR_7,5
22,Neutral,NAR,8,NAR_8,3
22,Neutral,NAR,9,NAR_9,5
22,Neutral,CTRL1,10,CTRL1_10,5
22,Neutral,CTRL2,11,CTRL2_11,5
22,Social Norm,EMP,1,EMP_1,5
22,Social Norm,EMP,2,EMP_2,5
22,Social Norm,EMP,3,EMP_3,5
22,Social Norm,NORM,4,NORM_4,5
22,Social Norm,NORM,5,NORM_5,5
22,Social Norm,NORM,6,NORM_6,4
22,Social Norm,NAR,7,NAR_7,5
22,Social Norm,NAR,8,NAR_8,3
22,Social Norm,NAR,9,NAR_9,5
22,Social Norm,CTRL1,10,CTRL1_10,5
22,Social Norm,CTRL2,11,CTRL2_11,5
23,Empathy,EMP,1,EMP_1,4
23,Empathy,EMP,2,EMP_2,4
23,Empathy,EMP,3,EMP_3,4
23,Empathy,NORM,4,NORM_4,4
23,Empathy,NORM,5,NORM_5,3
23,Empathy,NORM,6,NORM_6,4
23,Empathy,NAR,7,NAR_7,4
23,Empathy,NAR,8,NAR_8,2
23,Empathy,NAR,9,NAR_9,2
23,Empathy,CTRL1,10,CTRL1_10,4
23,Empathy,CTRL2,11,CTRL2_11,4
23,Narrative,EMP,1,EMP_1,3
23,Narrative,EMP,2,EMP_2,4
23,Narrative,EMP,3,EMP_3,3
23,Narrative,NORM,4,NORM_4,4
23,Narrative,NORM,5,NORM_5,4
23,Narrative,NORM,6,NORM_6,4
23,Narrative,NAR,7,NAR_7,5
23,Narrative,NAR,8,NAR_8,4
23,Narrative,NAR,9,NAR_9,4
23,Narrative,CTRL1,10,CTRL1_10,4
23,Narrative,CTRL2,11,CTRL2_11,4
23,Neutral,EMP,1,EMP_1,2
23,Neutral,EMP,2,EMP_2,4
23,Neutral,EMP,3,EMP_3,2
23,Neutral,NORM,4,NORM_4,2
23,Neutral,NORM,5,NORM_5,2
23,Neutral,NORM,6,NORM_6,3
23,Neutral,NAR,7,NAR_7,1
23,Neutral,NAR,8,NAR_8,2
23,Neutral,NAR,9,NAR_9,3
23,Neutral,CTRL1,10,CTRL1_10,4
23,Neutral,CTRL2,11,CTRL2_11,4
23,Social Norm,EMP,1,EMP_1,3
23,Social Norm,EMP,2,EMP_2,4
23,Social Norm,EMP,3,EMP_3,3
23,Social Norm,NORM,4,NORM_4,5
23,Social Norm,NORM,5,NORM_5,4
23,Social Norm,NORM,6,NORM_6,4
23,Social Norm,NAR,7,NAR_7,3
23,Social Norm,NAR,8,NAR_8,2
23,Social Norm,NAR,9,NAR_9,2
23,Social Norm,CTRL1,10,CTRL1_10,4
23,Social Norm,CTRL2,11,CTRL2_11,4
24,Empathy,EMP,1,EMP_1,5
24,Empathy,EMP,2,EMP_2,5
24,Empathy,EMP,3,EMP_3,5
24,Empathy,NORM,4,NORM_4,1
24,Empathy,NORM,5,NORM_5,1
24,Empathy,NORM,6,NORM_6,2
24,Empathy,NAR,7,NAR_7,4
24,Empathy,NAR,8,NAR_8,2
24,Empathy,NAR,9,NAR_9,3
24,Empathy,CTRL1,10,CTRL1_10,4
24,Empathy,CTRL2,11,CTRL2_11,5
24,Narrative,EMP,1,EMP_1,4
24,Narrative,EMP,2,EMP_2,4
24,Narrative,EMP,3,EMP_3,4
24,Narrative,NORM,4,NORM_4,2
24,Narrative,NORM,5,NORM_5,2
24,Narrative,NORM,6,NORM_6,3
24,Narrative,NAR,7,NAR_7,4
24,Narrative,NAR,8,NAR_8,5
24,Narrative,NAR,9,NAR_9,5
24,Narrative,CTRL1,10,CTRL1_10,5
24,Narrative,CTRL2,11,CTRL2_11,5
24,Neutral,EMP,1,EMP_1,3
24,Neutral,EMP,2,EMP_2,4
24,Neutral,EMP,3,EMP_3,3
24,Neutral,NORM,4,NORM_4,2
24,Neutral,NORM,5,NORM_5,2
24,Neutral,NORM,6,NORM_6,3
24,Neutral,NAR,7,NAR_7,2
24,Neutral,NAR,8,NAR_8,2
24,Neutral,NAR,9,NAR_9,2
24,Neutral,CTRL1,10,CTRL1_10,4
24,Neutral,CTRL2,11,CTRL2_11,5
24,Social Norm,EMP,1,EMP_1,4
24,Social Norm,EMP,2,EMP_2,3
24,Social Norm,EMP,3,EMP_3,4
24,Social Norm,NORM,4,NORM_4,5
24,Social Norm,NORM,5,NORM_5,4
24,Social Norm,NORM,6,NORM_6,3
24,Social Norm,NAR,7,NAR_7,2
24,Social Norm,NAR,8,NAR_8,2
24,Social Norm,NAR,9,NAR_9,4
24,Social Norm,CTRL1,10,CTRL1_10,5
24,Social Norm,CTRL2,11,CTRL2_11,5
25,Empathy,EMP,1,EMP_1,4
25,Empathy,EMP,2,EMP_2,5
25,Empathy,EMP,3,EMP_3,4
25,Empathy,NORM,4,NORM_4,4
25,Empathy,NORM,5,NORM_5,3
25,Empathy,NORM,6,NORM_6,3
25,Empathy,NAR,7,NAR_7,4
25,Empathy,NAR,8,NAR_8,2
25,Empathy,NAR,9,NAR_9,2
25,Empathy,CTRL1,10,CTRL1_10,4
25,Empathy,CTRL2,11,CTRL2_11,5
25,Narrative,EMP,1,EMP_1,3
25,Narrative,EMP,2,EMP_2,4
25,Narrative,EMP,3,EMP_3,3
25,Narrative,NORM,4,NORM_4,4
25,Narrative,NORM,5,NORM_5,3
25,Narrative,NORM,6,NORM_6,3
25,Narrative,NAR,7,NAR_7,5
25,Narrative,NAR,8,NAR_8,5
25,Narrative,NAR,9,NAR_9,4
25,Narrative,CTRL1,10,CTRL1_10,4
25,Narrative,CTRL2,11,CTRL2_11,5
25,Neutral,EMP,1,EMP_1,3
25,Neutral,EMP,2,EMP_2,3
25,Neutral,EMP,3,EMP_3,2
25,Neutral,NORM,4,NORM_4,2
25,Neutral,NORM,5,NORM_5,2
25,Neutral,NORM,6,NORM_6,2
25,Neutral,NAR,7,NAR_7,1
25,Neutral,NAR,8,NAR_8,1
25,Neutral,NAR,9,NAR_9,1
25,Neutral,CTRL1,10,CTRL1_10,4
25,Neutral,CTRL2,11,CTRL2_11,5
25,Social Norm,EMP,1,EMP_1,3
25,Social Norm,EMP,2,EMP_2,4
25,Social Norm,EMP,3,EMP_3,3
25,Social Norm,NORM,4,NORM_4,5
25,Social Norm,NORM,5,NORM_5,5
25,Social Norm,NORM,6,NORM_6,5
25,Social Norm,NAR,7,NAR_7,2
25,Social Norm,NAR,8,NAR_8,1
25,Social Norm,NAR,9,NAR_9,2
25,Social Norm,CTRL1,10,CTRL1_10,4
25,Social Norm,CTRL2,11,CTRL2_11,5
34,Empathy,EMP,1,EMP_1,4
34,Empathy,EMP,2,EMP_2,4
34,Empathy,EMP,3,EMP_3,3
34,Empathy,NORM,4,NORM_4,1
34,Empathy,NORM,5,NORM_5,1
34,Empathy,NORM,6,NORM_6,2
34,Empathy,NAR,7,NAR_7,4
34,Empathy,NAR,8,NAR_8,4
34,Empathy,NAR,9,NAR_9,3
34,Empathy,CTRL1,10,CTRL1_10,4
34,Empathy,CTRL2,11,CTRL2_11,4
34,Narrative,EMP,1,EMP_1,2
34,Narrative,EMP,2,EMP_2,3
34,Narrative,EMP,3,EMP_3,1
34,Narrative,NORM,4,NORM_4,3
34,Narrative,NORM,5,NORM_5,4
34,Narrative,NORM,6,NORM_6,3
34,Narrative,NAR,7,NAR_7,5
34,Narrative,NAR,8,NAR_8,5
34,Narrative,NAR,9,NAR_9,5
34,Narrative,CTRL1,10,CTRL1_10,4
34,Narrative,CTRL2,11,CTRL2_11,5
34,Neutral,EMP,1,EMP_1,2
34,Neutral,EMP,2,EMP_2,2
