id,condition,scale,n_items,score
25,Social Norm,NAR,3,1.6666666666666667
25,Social Norm,CTRL1,1,4
25,Social Norm,CTRL2,1,5
25,Narrative,EMP,3,3.3333333333333335
25,Narrative,NORM,3,3.3333333333333335
25,Narrative,NAR,3,4.666666666666667
25,Narrative,CTRL1,1,4
25,Narrative,CTRL2,1,5
34,Neutral,EMP,3,1.6666666666666667
34,Neutral,NORM,3,3
34,Neutral,NAR,3,2.3333333333333335
34,Neutral,CTRL1,1,3
34,Neutral,CTRL2,1,5
34,Empathy,EMP,3,3.6666666666666665
34,Empathy,NORM,3,1.3333333333333333
34,Empathy,NAR,3,3.6666666666666665
34,Empathy,CTRL1,1,4
34,Empathy,CTRL2,1,4
34,Social Norm,EMP,3,3
34,Social Norm,NORM,3,5
34,Social Norm,NAR,3,3
34,Social Norm,CTRL1,1,4
34,Social Norm,CTRL2,1,5
34,Narrative,EMP,3,2
34,Narrative,NORM,3,3.3333333333333335
34,Narrative,NAR,3,5
34,Narrative,CTRL1,1,4
34,Narrative,CTRL2,1,5
37,Neutral,EMP,3,2.6666666666666665
37,Neutral,NORM,3,2
37,Neutral,NAR,3,2
37,Neutral,CTRL1,1,2
37,Neutral,CTRL2,1,4
37,Empathy,EMP,3,3
37,Empathy,NORM,3,2
37,Empathy,NAR,3,2.6666666666666665
37,Empathy,CTRL1,1,2
37,Empathy,CTRL2,1,4
37,Social Norm,EMP,3,2
37,Social Norm,NORM,3,4
37,Social Norm,NAR,3,2
37,Social Norm,CTRL1,1,4
37,Social Norm,CTRL2,1,4
37,Narrative,EMP,3,3.6666666666666665
37,Narrative,NORM,3,2
37,Narrative,NAR,3,4
37,Narrative,CTRL1,1,2
37,Narrative,CTRL2,1,4
40,Neutral,EMP,3,4
40,Neutral,NORM,3,4
40,Neutral,NAR,3,3.3333333333333335
40,Neutral,CTRL1,1,4
40,Neutral,CTRL2,1,4
40,Empathy,EMP,3,3
40,Empathy,NORM,3,2.6666666666666665
40,Empathy,NAR,3,2.6666666666666665
40,Empathy,CTRL1,1,2
40,Empathy,CTRL2,1,4
40,Social Norm,EMP,3,4
40,Social Norm,NORM,3,4
40,Social Norm,NAR,3,3.3333333333333335
40,Social Norm,CTRL1,1,4
40,Social Norm,CTRL2,1,4
40,Narrative,EMP,3,4
40,Narrative,NORM,3,4
40,Narrative,NAR,3,4
40,Narrative,CTRL1,1,4
40,Narrative,CTRL2,1,4
43,Neutral,EMP,3,3
43,Neutral,NORM,3,3
43,Neutral,NAR,3,3
43,Neutral,CTRL1,1,4
43,Neutral,CTRL2,1,4
43,Empathy,EMP,3,4.333333333333333
43,Empathy,NORM,3,2
43,Empathy,NAR,3,3
43,Empathy,CTRL1,1,4
43,Empathy,CTRL2,1,4
43,Social Norm,EMP,3,4.333333333333333
43,Social Norm,NORM,3,4.666666666666667
43,Social Norm,NAR,3,3.3333333333333335
43,Social Norm,CTRL1,1,5
43,Social Norm,CTRL2,1,4
43,Narrative,EMP,3,4.333333333333333
43,Narrative,NORM,3,2.3333333333333335
43,Narrative,NAR,3,4.333333333333333
43,Narrative,CTRL1,1,2
43,Narrative,CTRL2,1,5
45,Neutral,EMP,3,3.3333333333333335
45,Neutral,NORM,3,2.3333333333333335
45,Neutral,NAR,3,2.6666666666666665
45,Neutral,CTRL1,1,3
45,Neutral,CTRL2,1,4
45,Empathy,EMP,3,3.6666666666666665
45,Empathy,NORM,3,2
45,Empathy,NAR,3,2
45,Empathy,CTRL1,1,3
45,Empathy,CTRL2,1,4
45,Social Norm,EMP,3,3
45,Social Norm,NORM,3,3.3333333333333335
45,Social Norm,NAR,3,3
45,Social Norm,CTRL1,1,3
45,Social Norm,CTRL2,1,4
45,Narrative,EMP,3,3.3333333333333335
45,Narrative,NORM,3,2
45,Narrative,NAR,3,3.6666666666666665
45,Narrative,CTRL1,1,2
45,Narrative,CTRL2,1,4
46,Neutral,EMP,3,3
46,Neutral,NORM,3,2.6666666666666665
46,Neutral,NAR,3,2
46,Neutral,CTRL1,1,3
46,Neutral,CTRL2,1,4
46,Empathy,EMP,3,3.6666666666666665
46,Empathy,NORM,3,2.6666666666666665
46,Empathy,NAR,3,2.6666666666666665
46,Empathy,CTRL1,1,3
46,Empathy,CTRL2,1,4
46,Social Norm,EMP,3,4
46,Social Norm,NORM,3,4.666666666666667
46,Social Norm,NAR,3,3
46,Social Norm,CTRL1,1,3
46,Social Norm,CTRL2,1,4
46,Narrative,EMP,3,4.333333333333333
46,Narrative,NORM,3,4
46,Narrative,NAR,3,5
46,Narrative,CTRL1,1,3
46,Narrative,CTRL2,1,4
48,Neutral,EMP,3,1
48,Neutral,NORM,3,1
48,Neutral,NAR,3,1
48,Neutral,CTRL1,1,4
48,Neutral,CTRL2,1,4
48,Empathy,EMP,3,3.6666666666666665
48,Empathy,NORM,3,1
48,Empathy,NAR,3,3.6666666666666665
48,Empathy,CTRL1,1,1
48,Empathy,CTRL2,1,5
48,Social Norm,EMP,3,2.3333333333333335
48,Social Norm,NORM,3,5
48,Social Norm,NAR,3,1
48,Social Norm,CTRL1,1,3
48,Social Norm,CTRL2,1,4
48,Narrative,EMP,3,4.666666666666667
48,Narrative,NORM,3,1
48,Narrative,NAR,3,5
48,Narrative,CTRL1,1,4
48,Narrative,CTRL2,1,5
50,Neutral,EMP,3,2
50,Neutral,NORM,3,3
50,Neutral,NAR,3,3
50,Neutral,CTRL1,1,3
50,Neutral,CTRL2,1,4
50,Empathy,EMP,3,3
50,Empathy,NORM,3,4
50,Empathy,NAR,3,4.333333333333333
50,Empathy,CTRL1,1,4
50,Empathy,CTRL2,1,5
50,Social Norm,EMP,3,3
50,Social Norm,NORM,3,3.6666666666666665
50,Social Norm,NAR,3,3
50,Social Norm,CTRL1,1,4
50,Social Norm,CTRL2,1,5
50,Narrative,EMP,3,3.3333333333333335
50,Narrative,NORM,3,4
50,Narrative,NAR,3,4.333333333333333
50,Narrative,CTRL1,1,4
50,Narrative,CTRL2,1,5
51,Neutral,EMP,3,3.3333333333333335
51,Neutral,NORM,3,2.3333333333333335
